2 Control Points
x, y, z, r1, r2, desc, id
204.68, 127.40, 0.00, 28.00, 28.00, , 1
Models count: 0
204.82, 128.09, 767.00, 2.00, 2.00, , 2
1059 vessel Segment Points
x, y, z, r1, r2
88.94, 75.61, 273.34, -1.00, -1.00
88.54, 75.81, 274.12, -1.00, -1.00
88.18, 75.93, 274.95, -1.00, -1.00
87.95, 75.98, 275.81, -1.00, -1.00
87.78, 76.00, 276.68, -1.00, -1.00
87.62, 76.00, 277.57, -1.00, -1.00
87.42, 76.00, 278.44, -1.00, -1.00
87.19, 76.00, 279.32, -1.00, -1.00
86.95, 76.00, 280.18, -1.00, -1.00
86.70, 76.00, 281.04, -1.00, -1.00
86.46, 76.00, 281.91, -1.00, -1.00
86.21, 76.00, 282.77, -1.00, -1.00
85.93, 76.00, 283.62, -1.00, -1.00
85.54, 76.00, 284.43, -1.00, -1.00
84.99, 76.00, 285.16, -1.00, -1.00
84.43, 76.00, 285.86, -1.00, -1.00
84.04, 76.00, 286.67, -1.00, -1.00
83.81, 76.02, 287.54, -1.00, -1.00
83.63, 76.10, 288.42, -1.00, -1.00
83.39, 76.28, 289.26, -1.00, -1.00
82.99, 76.54, 290.03, -1.00, -1.00
82.38, 76.76, 290.66, -1.00, -1.00
81.76, 76.91, 291.30, -1.00, -1.00
81.35, 76.98, 292.09, -1.00, -1.00
81.12, 77.04, 292.95, -1.00, -1.00
80.93, 77.18, 293.82, -1.00, -1.00
80.68, 77.48, 294.63, -1.00, -1.00
80.42, 77.80, 295.42, -1.00, -1.00
80.24, 77.95, 296.29, -1.00, -1.00
80.12, 78.01, 297.17, -1.00, -1.00
80.05, 78.06, 298.07, -1.00, -1.00
80.01, 78.15, 298.97, -1.00, -1.00
79.98, 78.34, 299.86, -1.00, -1.00
79.91, 78.73, 300.67, -1.00, -1.00
79.78, 79.32, 301.33, -1.00, -1.00
79.56, 79.80, 302.06, -1.00, -1.00
79.30, 79.97, 302.91, -1.00, -1.00
79.02, 80.00, 303.75, -1.00, -1.00
78.68, 80.01, 304.58, -1.00, -1.00
78.34, 80.08, 305.41, -1.00, -1.00
78.10, 80.34, 306.23, -1.00, -1.00
77.97, 80.85, 306.97, -1.00, -1.00
77.79, 81.52, 307.53, -1.00, -1.00
77.45, 82.29, 307.86, -1.00, -1.00
77.16, 83.10, 308.13, -1.00, -1.00
77.01, 83.91, 308.46, -1.00, -1.00
76.89, 84.72, 308.81, -1.00, -1.00
76.61, 85.53, 309.08, -1.00, -1.00
76.12, 86.24, 309.33, -1.00, -1.00
75.44, 86.70, 309.68, -1.00, -1.00
74.69, 86.90, 310.14, -1.00, -1.00
73.97, 86.98, 310.65, -1.00, -1.00
73.28, 87.05, 311.22, -1.00, -1.00
72.67, 87.25, 311.86, -1.00, -1.00
72.27, 87.73, 312.51, -1.00, -1.00
72.07, 88.45, 313.02, -1.00, -1.00
72.00, 89.27, 313.37, -1.00, -1.00
71.95, 90.09, 313.74, -1.00, -1.00
71.83, 90.85, 314.22, -1.00, -1.00
71.48, 91.51, 314.72, -1.00, -1.00
70.80, 92.06, 314.96, -1.00, -1.00
70.02, 92.51, 315.03, -1.00, -1.00
69.23, 92.94, 315.12, -1.00, -1.00
68.51, 93.39, 315.44, -1.00, -1.00
68.11, 93.70, 316.17, -1.00, -1.00
68.01, 93.86, 317.06, -1.00, -1.00
68.00, 93.94, 317.95, -1.00, -1.00
68.00, 93.98, 318.86, -1.00, -1.00
68.00, 94.03, 319.76, -1.00, -1.00
68.00, 94.13, 320.65, -1.00, -1.00
68.00, 94.35, 321.54, -1.00, -1.00
68.00, 94.65, 322.39, -1.00, -1.00
68.00, 94.92, 323.24, -1.00, -1.00
68.00, 95.12, 324.11, -1.00, -1.00
68.00, 95.28, 325.01, -1.00, -1.00
68.00, 95.45, 325.88, -1.00, -1.00
67.99, 95.67, 326.75, -1.00, -1.00
67.92, 96.00, 327.58, -1.00, -1.00
67.73, 96.51, 328.29, -1.00, -1.00
67.39, 97.18, 328.79, -1.00, -1.00
66.98, 97.92, 329.10, -1.00, -1.00
66.55, 98.58, 329.52, -1.00, -1.00
66.26, 98.91, 330.31, -1.00, -1.00
66.13, 98.99, 331.19, -1.00, -1.00
66.05, 99.00, 332.10, -1.00, -1.00
66.02, 99.01, 333.00, -1.00, -1.00
66.00, 99.06, 333.90, -1.00, -1.00
66.00, 99.23, 334.80, -1.00, -1.00
65.99, 99.58, 335.62, -1.00, -1.00
65.93, 100.09, 336.36, -1.00, -1.00
65.76, 100.62, 337.05, -1.00, -1.00
65.49, 101.19, 337.70, -1.00, -1.00
65.26, 101.85, 338.27, -1.00, -1.00
65.11, 102.55, 338.79, -1.00, -1.00
65.03, 103.23, 339.38, -1.00, -1.00
65.00, 103.83, 340.05, -1.00, -1.00
65.00, 104.40, 340.75, -1.00, -1.00
64.98, 104.95, 341.46, -1.00, -1.00
64.87, 105.44, 342.21, -1.00, -1.00
64.58, 105.76, 343.00, -1.00, -1.00
64.27, 105.91, 343.83, -1.00, -1.00
64.09, 105.97, 344.71, -1.00, -1.00
64.02, 106.02, 345.61, -1.00, -1.00
64.00, 106.11, 346.50, -1.00, -1.00
64.00, 106.31, 347.38, -1.00, -1.00
64.00, 106.66, 348.21, -1.00, -1.00
64.00, 107.17, 348.96, -1.00, -1.00
63.98, 107.78, 349.62, -1.00, -1.00
63.87, 108.37, 350.29, -1.00, -1.00
63.56, 108.77, 351.04, -1.00, -1.00
63.23, 109.08, 351.82, -1.00, -1.00
63.04, 109.52, 352.58, -1.00, -1.00
63.00, 110.13, 353.23, -1.00, -1.00
63.00, 110.88, 353.72, -1.00, -1.00
62.99, 111.68, 354.12, -1.00, -1.00
62.94, 112.39, 354.68, -1.00, -1.00
62.82, 112.81, 355.47, -1.00, -1.00
62.64, 113.21, 356.25, -1.00, -1.00
